quantum,tput,p50ns,p99ns,steps,work_ns,unacc_ns
1,56257,4007810,8024547,1512,922383703,3775806017
4,64115,4001142,6615996,1324,913692859,3533102950
16,73188,3802008,4902646,1819,704347052,3830352952
64,81877,2964424,4826393,1828,743998401,3804341509
128,82129,3340906,4902748,1751,728942673,3831681509
250,87061,3047505,4252949,1997,874541254,3873572916
500,75665,3788039,4721637,1913,737182360,3862825825
1000,74186,3458879,5437149,1893,1042802227,3815544969
2000,74818,3420684,5342240,2279,1044557025,3819854731
4000,76244,3334289,5079321,2369,1061168589,3795003380
